date,reps,sets,weightVolume,Benchpress close grip,Benchpress wide grip,Benchpress,Dumbell incline press 30 degrees,Dips,Seated rows machine,Ab crunches machine,Side ab crunches,Squats,Side ab crunches machine,Tricep pulldowns rope,Shoulder press machine,Chest press machine,Lat pulldowns,Bicep curls bar,Leg curls machine,Calf raises smith machine,Leg extensions machine,Overhead barbell press,Lateral raise dumbbells,Shoulder press dumbbells,Bicep curls dumbbells,Concentration curls,Wrist curls,Reverse wrist curls,Hammer curls,Face pulls,Barbell rows,Dumbbell rows,Pullups,Lateral raise cable,Shrugs dumbbells,Tricep pushdowns handle,Beinpress maskin,Pulldowns small grip,Y-raises rear delt,abdominal,Pulldowns behind back,Deadlift,Seated rows v-grip,Lower back,Strikk inn og ut skulder,skråbenk smith,One arm cable row,One arm barbell row,Chin ups,sissy squats,hip thrusts,magehjul,Reverse bicep curls bar,Calf raises,T-bar rows,Leg press,Calf raises machine,Front shoulder raises
2023-08-29 17:45:00,50.0,9.0,3513.0,74.09,82.38,91.31,33.34,117.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-10 11:30:00,39.0,11.0,3500.0,0,49.39,0,0,0,45.29,35.31,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-12 17:03:00,29.0,9.0,3140.0,0,0,0,0,0,55.57,43.22,0,58.84,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-14 17:06:00,83.0,17.0,6450.0,0,51.76,0,0,0,58.23,49.39,0,70.61,54.26,33.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-19 17:12:00,174.0,25.0,8280.0,0,65.25,0,0,0,71.16,0,0,0,0,22.36,53.09,51.76,86.24,36.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-04 19:06:00,96.0,10.0,5500.0,0,0,0,0,0,0,0,0,100.64,0,0,0,0,0,0,66.37,41.86,116.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-05 17:09:45,175.0,18.0,4554.0,0,0,0,0,0,0,0,0,0,0,22.36,0,0,0,0,0,0,0,54.26,10.62,29.11,21.61,21.1,10.54,9.29,20.09,33.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-22 20:21:00,77.0,16.0,6195.0,0,68.53,0,0,0,66.37,0,0,58.84,0,16.31,42.17,0,0,0,0,0,79.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-06 19:28:00,66.0,9.0,4945.0,0,0,87.0,33.96,111.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-07 19:13:00,89.0,9.0,5970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.92,38.82,100.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-08 19:44:00,108.0,12.0,6820.0,0,0,0,0,0,0,0,0,97.87,0,0,0,0,0,0,0,54.92,77.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-09 12:51:00,177.0,16.0,4782.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.76,0,27.13,20.09,18.96,12.03,10.54,21.1,38.37,0,0,0,12.94,28.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-11 19:54:00,95.0,9.0,6720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.55,43.14,105.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-12 17:47:00,64.0,11.0,4800.0,0,0,86.44,33.16,126.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-13 17:50:00,122.0,13.0,7960.0,0,0,0,0,0,0,0,0,108.75,0,0,0,0,0,0,79.64,67.51,111.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-14 18:59:00,143.0,14.0,4557.5,0,0,0,0,0,0,0,0,0,0,28.7,0,0,0,0,0,0,0,57.39,0,29.87,21.61,22.82,10.54,0,21.1,37.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-15 19:30:36,101.0,9.0,6820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.57,0,0,0,0,0,0,0,0,0,0,0,0,0,92.92,43.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-16 12:34:00,61.0,10.0,4155.0,0,0,94.15,33.16,103.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-17 21:53:42,130.0,13.0,8780.0,0,0,0,0,0,0,0,0,108.75,0,0,0,0,0,0,74.09,67.51,129.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
