date,reps,sets,weightVolume,Benchpress close grip,Benchpress wide grip,Benchpress,Dumbell incline press 30 degrees,Dips,Seated rows machine,Ab crunches machine,Side ab crunches,Squats,Side ab crunches machine,Tricep pulldowns rope,Shoulder press machine,Chest press machine,Lat pulldowns,Bicep curls bar,Leg curls machine,Calf raises smith machine,Leg extensions machine,Overhead barbell press,Lateral raise dumbbells,Shoulder press dumbbells,Bicep curls dumbbells,Concentration curls,Wrist curls,Reverse wrist curls,Hammer curls,Face pulls,Barbell rows,Dumbbell rows,Pullups,Lateral raise cable,Shrugs dumbbells,Tricep pushdowns handle,Beinpress maskin,Pulldowns small grip,Y-raises rear delt,abdominal,Pulldowns behind back,Deadlift,Seated rows v-grip,Lower back,Strikk inn og ut skulder,skråbenk smith,One arm cable row,One arm barbell row,Chin ups,sissy squats,hip thrusts,magehjul,Reverse bicep curls bar,Calf raises,T-bar rows,Leg press,Calf raises machine,Front shoulder raises
2023-08-29 17:45:00,50.0,9.0,3513.0,480.0,420.0,90.0,378.0,2055.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-10 11:30:00,39.0,11.0,3500.0,0,640.0,0,0,0,350.0,180.0,245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-12 17:03:00,29.0,9.0,3140.0,0,0,0,0,0,360.0,280.0,0,300.0,245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-14 17:06:00,83.0,17.0,6450.0,0,400.0,0,0,0,450.0,320.0,0,660.0,315.0,720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-19 17:12:00,174.0,25.0,8280.0,0,1020.0,0,0,0,1600.0,0,0,0,0,470.0,480.0,1050.0,1860.0,760.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-04 19:06:00,96.0,10.0,5500.0,0,0,0,0,0,0,0,0,2040.0,0,0,0,0,0,0,960.0,900.0,1600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-05 17:09:45,175.0,18.0,4554.0,0,0,0,0,0,0,0,0,0,0,505.0,0,0,0,0,0,0,0,865.0,288.0,405.0,140.0,122.5,140.0,84.0,87.5,650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-22 20:21:00,77.0,16.0,6195.0,0,1030.0,0,0,0,600.0,0,0,300.0,0,45.0,380.0,0,0,0,0,0,1320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-06 19:28:00,66.0,9.0,4945.0,0,0,1600.0,412.5,2520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-07 19:13:00,89.0,9.0,5970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580.0,1110.0,1170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-08 19:44:00,108.0,12.0,6820.0,0,0,0,0,0,0,0,0,1470.0,0,0,0,0,0,0,0,1160.0,4190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-09 12:51:00,177.0,16.0,4782.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970.0,0,315.0,87.5,135.0,210.0,140.0,122.5,787.5,0,0,0,300.0,202.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-11 19:54:00,95.0,9.0,6720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460.0,1230.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-12 17:47:00,64.0,11.0,4800.0,0,0,1940.0,605.0,1650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-13 17:50:00,122.0,13.0,7960.0,0,0,0,0,0,0,0,0,1730.0,0,0,0,0,0,0,1820.0,2050.0,2360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-14 18:59:00,143.0,14.0,4557.5,0,0,0,0,0,0,0,0,0,0,675.0,0,0,0,0,0,0,0,870.0,0,540.0,140.0,192.5,140.0,0,122.5,742.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-15 19:30:36,101.0,9.0,6820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440.0,1170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-16 12:34:00,61.0,10.0,4155.0,0,0,1350.0,907.5,990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-17 21:53:42,130.0,13.0,8780.0,0,0,0,0,0,0,0,0,1820.0,0,0,0,0,0,0,1760.0,2400.0,2800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-18 19:59:19,160.0,16.0,4722.5,0,0,0,0,0,0,0,0,0,0,412.5,0,0,0,0,0,0,0,995.0,0,517.5,140.0,157.5,0,0,140.0,680.0,0,0,0,110.0,0,505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-21 19:08:10,60.0,7.0,4630.0,0,0,0,0,0,0,0,0,1580.0,0,0,0,0,2510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-23 21:34:00,134.0,11.0,11120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.0,1480.0,3040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-24 00:17:00,158.0,19.0,7450.0,0,0,0,0,0,0,0,0,1080.0,0,675.0,0,400.0,1650.0,0,0,0,0,0,0,375.0,187.5,0,0,0,0,0,0,0,0,0,0,0,2520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-26 15:54:00,168.0,24.0,6240.0,0,0,2640.0,0,0,0,0,0,0,0,675.0,0,0,1350.0,0,0,0,0,0,0,0,262.5,0,0,0,0,0,0,525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-04 18:30:00,62.0,8.0,3610.0,0,0,0,0,0,0,0,0,1080.0,0,0,0,0,1900.0,0,0,0,0,0,0,0,122.5,87.5,0,0,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
